acc_x	acc_y	acc_z	mag	dif_x	dif_y	dif_z	diff_mag
0.01	-0.01	0.11	0.11	236.80	216.80	3586.40	3600.74	
0.02	-0.01	0.21	0.22	299.20	249.60	3586.40	3607.50	
0.01	-0.01	0.33	0.33	351.20	336.80	3827.20	3858.01	
0.03	-0.02	0.43	0.43	796.00	604.80	3827.20	3955.61	
0.03	-0.02	0.54	0.54	796.00	604.80	3896.00	4022.22	
0.04	-0.03	0.65	0.65	804.80	604.80	3896.80	4024.74	
0.05	-0.04	0.76	0.76	829.60	693.60	3931.20	4077.21	
0.05	-0.04	0.88	0.88	829.60	693.60	4077.60	4218.55	
0.06	-0.05	0.99	0.99	829.60	693.60	4077.60	4218.55	
0.07	-0.05	1.10	1.10	657.60	520.00	491.20	971.66	
0.07	-0.05	1.10	1.11	635.20	520.00	491.20	956.64	
0.07	-0.05	1.11	1.11	595.20	519.20	298.40	844.32	
0.08	-0.06	1.11	1.12	307.20	301.60	298.40	523.81	
0.07	-0.06	1.12	1.12	143.20	288.00	320.00	453.71	
0.07	-0.06	1.12	1.13	212.00	387.20	320.80	545.69	
0.07	-0.06	1.13	1.13	288.00	437.60	286.40	597.04	
0.07	-0.06	1.13	1.13	366.40	382.40	388.80	657.00	
0.07	-0.06	1.12	1.13	366.40	437.60	316.80	652.77	
0.08	-0.06	1.12	1.12	348.80	468.80	339.20	675.64	
0.08	-0.06	1.12	1.12	377.60	468.80	354.40	698.54	
0.08	-0.06	1.12	1.12	392.80	413.60	356.80	672.80	
0.08	-0.06	1.12	1.12	445.60	376.80	328.00	669.42	
0.07	-0.06	1.12	1.12	408.80	344.80	371.20	650.99	
0.07	-0.06	1.11	1.12	415.20	280.00	371.20	623.36	
0.07	-0.06	1.11	1.11	294.40	274.40	309.60	507.76	
0.07	-0.06	1.11	1.11	294.40	336.00	306.40	541.71	
0.04	-0.06	1.14	1.14	854.40	421.60	994.40	1377.16	
0.04	-0.06	1.16	1.16	854.40	328.80	994.40	1351.64	
0.05	-0.05	1.15	1.16	1092.80	512.80	1172.00	1682.49	
0.05	-0.05	1.15	1.16	1165.60	512.80	1185.60	1739.89	
0.04	-0.05	1.15	1.15	1110.40	559.20	1231.20	1749.73	
0.04	-0.05	1.15	1.15	1110.40	512.80	1200.00	1713.46	
0.04	-0.05	1.15	1.15	1158.40	502.40	1240.00	1769.72	
0.04	-0.05	1.15	1.15	1140.80	531.20	1256.00	1777.96	
0.04	-0.05	1.15	1.15	1111.20	531.20	1215.20	1730.22	
0.05	-0.05	1.15	1.15	1204.80	456.80	1232.80	1783.26	
0.07	-0.05	1.12	1.13	554.40	408.00	1046.40	1252.51	
0.07	-0.05	1.10	1.10	614.40	408.00	389.60	834.11	
0.06	-0.06	1.10	1.11	472.00	443.20	299.20	713.25	
0.06	-0.06	1.11	1.11	472.00	308.00	528.00	772.29	
0.07	-0.05	1.12	1.12	429.60	388.00	528.00	783.51	
0.07	-0.05	1.11	1.12	516.80	372.00	607.20	879.86	
0.07	-0.05	1.12	1.12	476.80	321.60	728.00	927.77	
0.08	-0.05	1.11	1.12	566.40	339.20	789.60	1029.24	
0.08	-0.05	1.11	1.12	464.00	339.20	800.00	985.06	
0.08	-0.05	1.09	1.10	605.60	339.20	1482.40	1636.86	
0.08	-0.05	1.09	1.10	621.60	366.40	1527.20	1689.08	
0.08	-0.05	1.10	1.10	498.40	468.00	1527.20	1673.25	
0.08	-0.04	1.10	1.11	498.40	437.60	1401.60	1550.61	
0.08	-0.04	1.08	1.09	608.80	492.80	1671.20	1845.64	
0.08	-0.05	1.08	1.08	641.60	396.00	1441.60	1626.86	
0.08	-0.05	1.09	1.09	589.60	415.20	1433.60	1604.75	
0.08	-0.04	1.08	1.08	608.00	415.20	1433.60	1611.60	
0.08	-0.04	1.08	1.08	536.80	396.80	1456.00	1601.73	
0.08	-0.04	1.08	1.08	527.20	360.00	1448.00	1582.48	
0.08	-0.04	1.10	1.10	391.20	312.80	745.60	898.22	
0.08	-0.04	1.10	1.10	354.40	336.00	712.80	864.05	
0.08	-0.05	1.10	1.10	295.20	208.00	715.20	801.20	
0.08	-0.05	1.10	1.10	280.80	153.60	668.00	740.72	
0.08	-0.04	1.11	1.11	187.20	246.40	420.80	522.33	
0.08	-0.04	1.11	1.12	140.00	202.40	332.00	413.27	
0.08	-0.04	1.11	1.11	153.60	202.40	132.00	286.33	
0.08	-0.04	1.11	1.11	126.40	202.40	184.00	301.33	
0.08	-0.04	1.11	1.11	137.60	183.20	97.60	249.04	
0.08	-0.04	1.11	1.12	133.60	170.40	89.60	234.34	
0.08	-0.04	1.11	1.11	133.60	196.80	200.00	310.77	
0.08	-0.04	1.11	1.11	147.20	203.20	197.60	319.38	
0.08	-0.04	1.11	1.11	139.20	229.60	256.00	370.98	
0.09	-0.04	1.11	1.12	159.20	229.60	236.00	365.73	
0.08	-0.04	1.11	1.12	210.40	220.00	224.00	377.95	
0.08	-0.04	1.11	1.11	210.40	214.40	321.60	440.07	
0.08	-0.04	1.11	1.11	206.40	237.60	321.60	449.98	
0.08	-0.04	1.10	1.11	220.80	265.60	296.80	455.40	
0.08	-0.04	1.11	1.11	195.20	279.20	341.60	482.44	
0.08	-0.04	1.11	1.11	198.40	248.00	341.60	466.43	
0.08	-0.04	1.11	1.11	198.40	248.80	244.00	401.00	
0.08	-0.03	1.11	1.11	176.80	248.80	304.00	430.78	
0.08	-0.03	1.11	1.11	180.00	207.20	301.60	407.79	
0.08	-0.03	1.11	1.11	181.60	186.40	341.60	429.43	
0.08	-0.03	1.10	1.11	181.60	186.40	341.60	429.43	
0.08	-0.03	1.11	1.11	202.40	103.20	384.80	446.86	
0.08	-0.03	1.11	1.12	184.80	92.80	334.40	393.17	
0.08	-0.03	1.11	1.12	182.40	92.80	298.40	361.83	
0.07	-0.04	1.12	1.12	288.00	89.60	476.00	563.51	
0.08	-0.03	1.12	1.12	359.20	293.60	525.60	701.06	
0.08	-0.03	1.12	1.12	349.60	344.00	517.60	713.07	
0.08	-0.03	1.12	1.12	382.40	352.80	507.20	726.60	
0.08	-0.03	1.12	1.12	336.80	352.80	464.00	673.20	
0.08	-0.03	1.12	1.12	301.60	324.80	412.00	605.15	
0.08	-0.03	1.12	1.12	299.20	326.40	358.40	569.66	
0.08	-0.03	1.12	1.12	305.60	346.40	377.60	596.63	
0.08	-0.03	1.12	1.12	293.60	349.60	364.80	584.38	
0.08	-0.03	1.12	1.12	293.60	357.60	364.80	589.20	
0.08	-0.02	1.11	1.11	167.20	324.80	227.20	430.20	
0.09	-0.03	1.11	1.11	191.20	280.80	227.20	408.69	
0.08	-0.04	1.11	1.11	215.20	355.20	273.60	497.33	
0.08	-0.04	1.11	1.11	215.20	343.20	238.40	470.03	
0.08	-0.04	1.11	1.11	185.60	379.20	253.60	492.50	
0.08	-0.04	1.11	1.11	188.00	380.80	256.00	495.87	
0.08	-0.04	1.11	1.11	196.00	364.80	256.00	486.86	
0.08	-0.04	1.11	1.11	202.40	390.40	268.80	515.39	
0.08	-0.04	1.11	1.11	233.60	398.40	268.80	534.36	
0.08	-0.03	1.11	1.12	348.00	398.40	497.60	726.25	
0.08	-0.03	1.12	1.13	348.00	396.00	409.60	667.60	
0.08	-0.03	1.12	1.12	251.20	396.00	460.80	657.46	
0.08	-0.03	1.12	1.12	218.40	278.40	449.60	572.14	
0.08	-0.03	1.12	1.12	223.20	312.00	415.20	565.29	
0.08	-0.03	1.12	1.12	224.00	270.40	424.80	551.13	
0.08	-0.02	1.11	1.12	224.00	315.20	438.40	584.57	
0.08	-0.02	1.11	1.12	224.80	282.40	413.60	548.95	
0.08	-0.02	1.11	1.12	220.80	270.40	413.60	541.23	
0.08	-0.02	1.11	1.12	175.20	272.00	413.60	525.11	
0.08	-0.03	1.11	1.11	80.80	340.00	291.20	454.89	
0.08	-0.03	1.10	1.11	81.60	242.40	171.20	307.78	
0.08	-0.04	1.11	1.11	105.60	208.00	96.80	252.56	
0.08	-0.04	1.11	1.11	95.20	210.40	78.40	243.88	
0.08	-0.03	1.10	1.11	176.00	249.60	111.20	325.03	
0.08	-0.04	1.11	1.12	159.20	289.60	340.80	474.72	
0.08	-0.04	1.12	1.12	205.60	255.20	340.80	472.80	
0.08	-0.04	1.11	1.12	230.40	255.20	472.80	584.59	
0.08	-0.04	1.11	1.11	296.00	300.80	472.80	633.75	
0.08	-0.04	1.11	1.11	277.60	300.80	461.60	616.94	
0.08	-0.03	1.11	1.11	288.00	300.80	470.40	628.25	
0.09	-0.03	1.11	1.11	375.20	309.60	471.20	677.24	
0.09	-0.03	1.11	1.11	396.80	349.60	506.40	732.20	
0.08	-0.03	1.11	1.11	421.60	296.80	509.60	724.93	
0.08	-0.03	1.11	1.11	381.60	296.80	460.80	667.87	
0.08	-0.03	1.10	1.11	345.60	304.80	396.80	608.11	
0.08	-0.03	1.10	1.10	488.00	339.20	282.40	657.99	
0.08	-0.03	1.11	1.11	488.00	339.20	215.20	632.07	
0.08	-0.03	1.10	1.11	475.20	363.20	297.60	668.05	
0.08	-0.03	1.11	1.11	645.60	384.80	352.80	830.26	
0.08	-0.03	1.09	1.10	683.20	384.80	888.00	1184.64	
0.08	-0.02	1.09	1.10	610.40	248.80	888.00	1105.91	
0.09	-0.02	1.09	1.09	867.20	320.80	1007.20	1367.26	
0.09	-0.03	1.09	1.09	890.40	283.20	981.60	1355.19	
0.08	-0.03	1.08	1.09	1132.00	282.40	1020.00	1549.70	
0.07	-0.04	1.08	1.09	966.40	367.20	1020.00	1452.30	
0.06	-0.04	1.08	1.09	966.40	367.20	1051.20	1474.38	
0.06	-0.04	1.08	1.08	911.20	367.20	1051.20	1438.80	
0.05	-0.05	1.09	1.09	911.20	367.20	922.40	1347.57	
0.05	-0.05	1.09	1.09	703.20	328.00	863.20	1160.68	
0.05	-0.06	1.10	1.11	724.00	373.60	390.40	903.42	
0.05	-0.07	1.10	1.11	703.20	367.20	390.40	884.16	
0.04	-0.07	1.10	1.11	499.20	347.20	328.80	691.27	
0.04	-0.07	1.10	1.11	499.20	344.80	290.40	672.62	
0.04	-0.07	1.11	1.11	557.60	344.80	285.60	715.10	
0.06	-0.06	1.11	1.11	574.40	217.60	251.20	663.62	
0.06	-0.06	1.10	1.11	423.20	232.00	276.00	555.97	
0.07	-0.06	1.11	1.11	380.00	232.00	356.00	570.05	
0.07	-0.06	1.11	1.11	409.60	240.80	356.00	593.71	
0.07	-0.06	1.11	1.11	424.80	248.80	366.40	613.68	
0.07	-0.06	1.11	1.11	424.80	248.80	366.40	613.68	
0.06	-0.06	1.11	1.11	281.60	209.60	366.40	507.42	
0.06	-0.05	1.11	1.11	281.60	166.40	358.40	485.22	
0.06	-0.05	1.11	1.11	243.20	166.40	353.60	460.29	
0.07	-0.05	1.11	1.11	220.80	166.40	348.00	444.46	
0.06	-0.05	1.11	1.11	207.20	166.40	311.20	409.23	
0.07	-0.05	1.11	1.11	191.20	102.40	230.40	316.43	
0.06	-0.05	1.11	1.11	249.60	124.00	154.40	318.62	
0.06	-0.05	1.11	1.11	206.40	192.80	164.00	326.60	
0.06	-0.05	1.11	1.11	191.20	166.40	107.20	275.21	
0.06	-0.05	1.11	1.11	340.80	314.40	247.20	525.45	
0.05	-0.04	1.10	1.10	491.20	296.80	755.20	948.52	
0.04	-0.05	1.09	1.10	491.20	296.80	740.80	937.10	
0.02	-0.05	1.09	1.09	904.80	569.60	740.80	1300.73	
0.03	-0.06	1.08	1.09	1273.60	565.60	891.20	1654.15	
0.04	-0.07	1.08	1.09	1263.20	565.60	899.20	1650.50	
0.04	-0.07	1.08	1.09	1263.20	565.60	944.80	1675.78	
0.05	-0.07	1.08	1.08	1312.00	569.60	914.40	1697.62	
0.05	-0.06	1.08	1.09	1312.00	487.20	973.60	1704.88	
0.05	-0.07	1.08	1.09	1312.00	562.40	1007.20	1747.02	
0.05	-0.07	1.08	1.08	1312.00	512.80	833.60	1636.83	
0.06	-0.07	1.09	1.10	1111.20	472.00	451.20	1288.85	
0.07	-0.07	1.10	1.10	1191.20	472.00	492.00	1372.52	
0.09	-0.06	1.10	1.10	594.40	386.40	492.00	862.95	
0.07	-0.06	1.10	1.11	451.20	369.60	296.80	654.43	
0.06	-0.05	1.10	1.11	312.00	273.60	296.80	510.19	
0.06	-0.05	1.10	1.10	312.00	281.60	368.00	558.63	
0.06	-0.05	1.10	1.10	288.80	284.80	368.00	547.67	
0.06	-0.05	1.10	1.10	256.00	312.80	336.00	525.62	
0.06	-0.05	1.11	1.11	312.80	266.40	483.20	634.27	
0.07	-0.05	1.11	1.11	312.80	282.40	419.20	594.41	
0.07	-0.05	1.11	1.11	232.80	242.40	440.80	554.31	
0.07	-0.05	1.11	1.11	287.20	225.60	418.40	555.37	
0.07	-0.05	1.11	1.11	287.20	225.60	417.60	554.77	
0.06	-0.05	1.11	1.11	218.40	227.20	397.60	507.35	
0.07	-0.06	1.11	1.11	224.80	240.00	471.20	574.60	
